epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,220.308,2.12193,3.06696,2.37895,0.47116,0.10371,0.07135,0.04035,2.16834,2.49618,2.14519,0.000122925,0.000122925,0.000122925
2,394.31,1.79929,2.36406,2.21219,0.35193,0.16529,0.16136,0.09241,2.08377,2.14656,2.12803,0.000246136,0.000246136,0.000246136
3,567.818,1.72775,2.2792,2.16961,0.28486,0.22,0.16243,0.09334,1.97858,1.97502,2.01547,0.000368855,0.000368855,0.000368855
4,740.081,1.68362,2.2372,2.13023,0.36813,0.22177,0.21524,0.12045,1.94571,1.80894,2.01198,0.000368342,0.000368342,0.000368342
5,912.382,1.64987,2.19711,2.10954,0.53649,0.19133,0.21282,0.12181,1.90245,1.81784,1.94635,0.000367057,0.000367057,0.000367057
6,1184.44,1.61418,2.17995,2.08212,0.4274,0.24543,0.25021,0.15291,1.99888,1.84488,1.97901,0.000365408,0.000365408,0.000365408
7,1461.8,1.58864,2.14434,2.06046,0.40458,0.2558,0.2163,0.1293,1.86977,1.79736,1.91324,0.0003634,0.0003634,0.0003634
8,1670.94,1.57003,2.12668,2.04026,0.45347,0.29028,0.28319,0.16754,1.81774,1.71021,1.84326,0.000361036,0.000361036,0.000361036
9,1845.27,1.55112,2.09306,2.0142,0.44067,0.30024,0.28331,0.1657,1.82968,1.67124,1.8482,0.000358321,0.000358321,0.000358321
10,2018.54,1.54266,2.07709,2.02215,0.42703,0.29993,0.28214,0.16314,1.82471,1.66777,1.8362,0.000355262,0.000355262,0.000355262
11,2321.6,1.5131,2.03673,1.99607,0.54747,0.28394,0.3126,0.18292,1.80865,1.63214,1.82094,0.000351862,0.000351862,0.000351862
12,2495.36,1.504,2.02818,1.98196,0.48886,0.29709,0.30248,0.17838,1.75496,1.59031,1.83173,0.000348131,0.000348131,0.000348131
13,2753.68,1.49843,2.02165,1.97974,0.41842,0.31066,0.29663,0.16361,1.80854,1.57544,1.78877,0.000344075,0.000344075,0.000344075
14,2997.57,1.48558,2.00716,1.96175,0.49542,0.31399,0.31851,0.18518,1.74899,1.59723,1.78507,0.000339702,0.000339702,0.000339702
15,3168.75,1.47818,1.97099,1.95287,0.47427,0.33198,0.31206,0.18346,1.74106,1.54573,1.79335,0.000335021,0.000335021,0.000335021
16,3344.44,1.46724,1.96317,1.96061,0.54921,0.32591,0.34494,0.20417,1.77097,1.53935,1.84023,0.000330042,0.000330042,0.000330042
17,3516.58,1.43739,1.92338,1.92503,0.57077,0.31645,0.32267,0.18648,1.73297,1.52846,1.78979,0.000324775,0.000324775,0.000324775
18,3688.52,1.43593,1.90444,1.92113,0.51045,0.34641,0.33416,0.1935,1.75311,1.54806,1.85686,0.00031923,0.00031923,0.00031923
19,3893.47,1.43207,1.905,1.92202,0.64636,0.31728,0.35535,0.20175,1.70121,1.47523,1.75373,0.000313418,0.000313418,0.000313418
20,4096.41,1.41542,1.86689,1.9006,0.48202,0.3491,0.35435,0.20805,1.67735,1.46103,1.74043,0.000307351,0.000307351,0.000307351
21,4313.61,1.42039,1.87404,1.90189,0.46883,0.36661,0.35608,0.20587,1.6819,1.46884,1.78318,0.000301042,0.000301042,0.000301042
22,4520.06,1.40218,1.83517,1.87426,0.45253,0.36021,0.34643,0.19763,1.66695,1.47502,1.7751,0.000294503,0.000294503,0.000294503
23,4761.27,1.38919,1.81714,1.86812,0.45055,0.3698,0.35551,0.20157,1.60623,1.43554,1.71034,0.000287747,0.000287747,0.000287747
24,4969.24,1.37673,1.80046,1.85631,0.38777,0.37693,0.34482,0.20141,1.63109,1.43011,1.73607,0.000280788,0.000280788,0.000280788
25,5141.88,1.36621,1.79129,1.85523,0.48778,0.38241,0.3809,0.21451,1.65815,1.41634,1.77826,0.000273639,0.000273639,0.000273639
26,5314.37,1.36981,1.77699,1.84892,0.47536,0.36099,0.36059,0.2152,1.66346,1.43622,1.78441,0.000266316,0.000266316,0.000266316
27,5485.42,1.35146,1.76332,1.83235,0.52753,0.36922,0.35438,0.19839,1.59738,1.38775,1.72593,0.000258833,0.000258833,0.000258833
28,5657.44,1.3446,1.75068,1.82842,0.51109,0.39462,0.3777,0.23031,1.54041,1.35491,1.68128,0.000251204,0.000251204,0.000251204
