                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9661,                 2.7066,                  2.217,                0.45018,                0.13521,                0.08565,                0.04404,                 2.4826,                 2.5011,                 2.6132,              0.0001231,              0.0001231,              0.0001231
                      2,                 1.7638,                  2.286,                 2.1147,                 0.2911,                0.09647,                0.07234,                0.03531,                 2.5643,                 2.7234,                  2.833,             0.00024641,             0.00024641,             0.00024641
                      3,                 1.6881,                 2.2211,                 2.0836,                0.46922,                0.11176,                0.10101,                0.05156,                 2.5051,                 2.3698,                 2.7486,             0.00036961,             0.00036961,             0.00036961
                      4,                 1.6585,                 2.1817,                 2.0531,                0.22826,                0.13898,                0.09736,                0.04496,                 2.5041,                 2.4432,                  2.743,             0.00036964,             0.00036964,             0.00036964
                      5,                 1.6159,                 2.1561,                 2.0258,                0.15598,                0.15227,                0.10265,                0.05332,                 2.4478,                 2.4772,                 2.6481,             0.00036936,             0.00036936,             0.00036936
                      6,                 1.5925,                 2.1117,                 2.0104,                0.25096,                0.21018,                0.13675,                0.06611,                 2.2824,                 2.3599,                 2.4996,               0.000369,               0.000369,               0.000369
                      7,                 1.5676,                 2.0842,                 2.0068,                0.24158,                0.26267,                0.19382,                0.10497,                 2.1594,                 2.3521,                 2.3433,             0.00036856,             0.00036856,             0.00036856
                      8,                 1.5265,                 2.0414,                 1.9632,                0.31819,                 0.2214,                0.16282,                 0.0805,                  2.185,                 2.2285,                  2.374,             0.00036804,             0.00036804,             0.00036804
                      9,                 1.5311,                 2.0623,                 1.9679,                0.26917,                0.25901,                 0.1677,                0.07968,                 2.1348,                  2.243,                 2.3537,             0.00036744,             0.00036744,             0.00036744
                     10,                 1.5161,                 2.0157,                 1.9531,                0.26443,                0.22116,                0.17298,                0.08603,                 2.1717,                 2.2289,                 2.3586,             0.00036676,             0.00036676,             0.00036676
                     11,                 1.5039,                 2.0001,                 1.9445,                0.31146,                0.25553,                 0.2239,                0.12354,                 2.0791,                 2.1848,                 2.2815,               0.000366,               0.000366,               0.000366
                     12,                 1.4866,                  1.961,                 1.9261,                 0.2782,                0.24257,                0.18935,                0.09838,                 2.1554,                 2.2278,                 2.4035,             0.00036516,             0.00036516,             0.00036516
                     13,                  1.473,                 1.9589,                 1.9221,                0.35122,                0.25181,                0.18077,                0.09552,                 2.0718,                 2.1506,                 2.3234,             0.00036425,             0.00036425,             0.00036425
                     14,                 1.4699,                 1.9668,                 1.9119,                0.38073,                0.23153,                0.22411,                0.12687,                 2.0298,                 2.1044,                 2.1795,             0.00036325,             0.00036325,             0.00036325
                     15,                 1.4569,                 1.9084,                 1.8717,                0.32936,                0.23051,                0.20368,                0.10755,                 2.0923,                 2.1137,                 2.3438,             0.00036218,             0.00036218,             0.00036218
                     16,                 1.4541,                 1.9116,                 1.8858,                0.32837,                0.28286,                0.24555,                0.13035,                  2.078,                 2.1003,                 2.2972,             0.00036104,             0.00036104,             0.00036104
                     17,                 1.4362,                 1.8815,                 1.8701,                0.31463,                0.26651,                0.24838,                0.14887,                 1.9904,                 2.0888,                 2.1925,             0.00035981,             0.00035981,             0.00035981
                     18,                 1.4294,                 1.8657,                 1.8554,                0.44983,                0.25747,                0.28418,                0.17285,                 2.0239,                 2.0408,                 2.2542,             0.00035851,             0.00035851,             0.00035851
                     19,                 1.4175,                 1.8646,                  1.863,                0.35143,                0.30639,                0.27272,                0.15132,                 2.0515,                 2.0303,                 2.2722,             0.00035714,             0.00035714,             0.00035714
                     20,                 1.4149,                 1.8408,                 1.8491,                0.33788,                0.29452,                0.25955,                0.15669,                 2.0116,                  2.067,                 2.2378,             0.00035569,             0.00035569,             0.00035569
                     21,                  1.418,                 1.8244,                 1.8334,                0.30875,                0.29998,                0.26774,                 0.1553,                 2.0041,                 1.9858,                 2.2314,             0.00035417,             0.00035417,             0.00035417
                     22,                 1.4148,                 1.8348,                 1.8395,                0.27683,                0.31544,                0.24794,                0.13665,                  1.963,                 1.9579,                 2.2382,             0.00035257,             0.00035257,             0.00035257
                     23,                  1.401,                 1.8183,                 1.8527,                 0.3121,                0.31126,                  0.287,                0.15616,                 1.9774,                 1.9778,                 2.1986,              0.0003509,              0.0003509,              0.0003509
                     24,                 1.3896,                 1.8112,                  1.832,                0.30268,                0.31312,                0.27391,                 0.1561,                 1.9871,                 2.0135,                 2.2395,             0.00034916,             0.00034916,             0.00034916
                     25,                 1.3851,                 1.7648,                 1.8054,                0.26793,                0.31674,                0.28347,                0.16079,                 1.9544,                 1.9354,                 2.1799,             0.00034735,             0.00034735,             0.00034735
                     26,                 1.3816,                 1.7615,                 1.8067,                0.38187,                0.29589,                  0.295,                0.17039,                 1.9547,                 1.9354,                 2.1826,             0.00034546,             0.00034546,             0.00034546
                     27,                  1.364,                 1.7458,                 1.7884,                0.34477,                0.30214,                0.30081,                0.18367,                  1.975,                 1.9614,                 2.2273,             0.00034351,             0.00034351,             0.00034351
                     28,                 1.3719,                 1.7476,                 1.8121,                0.27312,                0.32172,                0.28542,                0.17363,                 2.0243,                 1.9698,                 2.2502,             0.00034149,             0.00034149,             0.00034149
                     29,                 1.3672,                 1.7412,                 1.8061,                0.32641,                0.32059,                0.31128,                0.18642,                 1.9426,                 1.8886,                 2.2228,              0.0003394,              0.0003394,              0.0003394
                     30,                 1.3716,                 1.7418,                 1.7985,                0.39107,                0.30957,                0.30406,                0.18159,                  1.929,                 1.8781,                 2.1893,             0.00033724,             0.00033724,             0.00033724
                     31,                  1.356,                 1.7087,                 1.7781,                0.36892,                0.33001,                0.30551,                  0.181,                 1.8993,                 1.8636,                 2.1659,             0.00033502,             0.00033502,             0.00033502
                     32,                 1.3432,                 1.7104,                 1.7881,                0.34496,                0.31282,                 0.3026,                0.17584,                 1.9011,                 1.9026,                 2.1254,             0.00033273,             0.00033273,             0.00033273
                     33,                 1.3414,                 1.7192,                 1.7939,                0.34893,                0.35627,                0.30631,                0.18091,                 1.9032,                  1.831,                 2.1702,             0.00033038,             0.00033038,             0.00033038
                     34,                 1.3415,                 1.7226,                 1.8045,                0.32491,                0.33942,                0.30578,                0.18187,                 1.8887,                 1.8493,                   2.17,             0.00032797,             0.00032797,             0.00032797
                     35,                 1.3235,                  1.673,                 1.7689,                0.38577,                0.33854,                0.31511,                0.19222,                  1.867,                 1.8023,                 2.2017,             0.00032549,             0.00032549,             0.00032549
                     36,                 1.3285,                 1.6631,                   1.77,                0.34681,                0.35741,                0.31909,                0.18516,                 1.8915,                 1.8186,                 2.1736,             0.00032296,             0.00032296,             0.00032296
                     37,                  1.321,                 1.6597,                 1.7716,                0.39308,                0.34874,                 0.3383,                0.20047,                 1.8779,                 1.8753,                 2.2079,             0.00032036,             0.00032036,             0.00032036
                     38,                 1.3112,                 1.6605,                 1.7796,                0.41273,                0.33752,                 0.3429,                0.20473,                 1.8925,                 1.8197,                  2.169,             0.00031771,             0.00031771,             0.00031771
                     39,                 1.3089,                 1.6401,                 1.7656,                0.39817,                 0.3549,                0.33192,                0.20161,                 1.8534,                 1.8077,                 2.2093,             0.00031499,             0.00031499,             0.00031499
                     40,                 1.3015,                 1.6145,                 1.7529,                0.43381,                0.35969,                0.36167,                0.21727,                 1.8696,                 1.7969,                 2.2862,             0.00031222,             0.00031222,             0.00031222
                     41,                 1.2955,                  1.629,                 1.7479,                0.42321,                0.40261,                 0.3353,                0.20475,                   1.86,                 1.7754,                 2.1974,              0.0003094,              0.0003094,              0.0003094
                     42,                 1.2916,                 1.6148,                 1.7437,                0.39794,                0.35332,                0.32248,                0.19776,                  1.803,                 1.7626,                 2.1737,             0.00030652,             0.00030652,             0.00030652
                     43,                 1.2898,                 1.5919,                 1.7389,                0.32362,                0.36325,                0.33461,                0.20062,                 1.8313,                 1.7078,                 2.1538,             0.00030359,             0.00030359,             0.00030359
                     44,                 1.2798,                 1.5919,                 1.7487,                0.43105,                 0.3503,                 0.3274,                0.20464,                 1.7825,                 1.7544,                   2.16,             0.00030061,             0.00030061,             0.00030061
                     45,                 1.2817,                  1.572,                 1.7364,                0.38588,                 0.3731,                0.33524,                0.19928,                 1.8298,                 1.7723,                 2.2073,             0.00029758,             0.00029758,             0.00029758
                     46,                 1.2668,                 1.5714,                  1.731,                0.40976,                0.37929,                0.36761,                0.22571,                 1.7455,                 1.6949,                 2.1805,              0.0002945,              0.0002945,              0.0002945
                     47,                 1.2626,                 1.5515,                 1.7125,                0.44698,                0.36216,                 0.3563,                0.22134,                 1.8041,                 1.7464,                 2.2041,             0.00029138,             0.00029138,             0.00029138
                     48,                  1.267,                 1.5623,                 1.7283,                0.41312,                0.39427,                0.36791,                0.22067,                 1.7286,                 1.6897,                 2.1578,              0.0002882,              0.0002882,              0.0002882
                     49,                 1.2653,                 1.5492,                 1.7282,                0.38064,                0.39575,                 0.3552,                0.21981,                  1.786,                 1.7125,                 2.2062,             0.00028499,             0.00028499,             0.00028499
                     50,                 1.2514,                 1.5386,                 1.7151,                0.39069,                0.38795,                0.36375,                0.21933,                 1.7262,                 1.6508,                 2.1545,             0.00028173,             0.00028173,             0.00028173
                     51,                 1.2491,                 1.5021,                  1.696,                0.42377,                0.38525,                0.36524,                0.22214,                 1.6881,                   1.62,                 2.1322,             0.00027842,             0.00027842,             0.00027842
                     52,                 1.2479,                 1.5232,                 1.7117,                0.44224,                0.38604,                0.34951,                0.21857,                 1.6916,                 1.6167,                 2.1027,             0.00027508,             0.00027508,             0.00027508
                     53,                 1.2389,                  1.499,                 1.6879,                0.39715,                0.39762,                0.37201,                0.23254,                 1.6999,                 1.6117,                 2.1369,              0.0002717,              0.0002717,              0.0002717
