                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8492,                 2.4711,                 1.2728,                0.63361,                0.19251,                  0.151,                 0.0873,                 1.8888,                 2.0587,                 1.1776,             0.00012241,             0.00012241,             0.00012241
                      2,                 1.6793,                 1.6146,                 1.1635,                0.44834,                0.26272,                0.24022,                0.13593,                 1.8466,                 1.8427,                 1.2201,             0.00024569,             0.00024569,             0.00024569
                      3,                 1.6662,                 1.4807,                  1.166,                 0.2885,                0.25924,                0.21322,                0.10954,                 1.9354,                 1.8059,                 1.2414,             0.00036872,             0.00036872,             0.00036872
                      4,                 1.6396,                 1.4244,                 1.1548,                0.44549,                 0.3353,                0.31222,                0.17794,                 1.8597,                  1.672,                 1.2173,             0.00036919,             0.00036919,             0.00036919
                      5,                 1.6222,                  1.341,                 1.1416,                0.44821,                0.41968,                 0.3729,                0.21481,                 1.8323,                 1.6028,                 1.2002,             0.00036856,             0.00036856,             0.00036856
                      6,                 1.5967,                 1.2725,                 1.1314,                0.35893,                0.34511,                0.29794,                0.16535,                 1.8276,                 1.5965,                 1.2052,             0.00036775,             0.00036775,             0.00036775
                      7,                 1.5801,                 1.2169,                 1.1163,                0.40623,                0.43948,                0.36137,                0.18551,                  1.856,                 1.4928,                 1.1921,             0.00036676,             0.00036676,             0.00036676
                      8,                 1.5565,                 1.1818,                 1.1093,                0.50263,                0.41331,                0.43442,                0.26751,                 1.7886,                 1.5524,                 1.1803,             0.00036559,             0.00036559,             0.00036559
                      9,                  1.554,                  1.162,                 1.1021,                0.52289,                0.45378,                0.46053,                0.29067,                 1.7829,                 1.5037,                 1.1743,             0.00036425,             0.00036425,             0.00036425
                     10,                  1.507,                 1.1103,                  1.083,                0.49446,                 0.3879,                0.37833,                0.19416,                 1.8662,                 1.5071,                 1.1898,             0.00036273,             0.00036273,             0.00036273
                     11,                 1.5113,                 1.0936,                 1.0865,                0.57757,                0.43923,                0.45291,                0.26129,                 1.8177,                 1.4385,                 1.1627,             0.00036104,             0.00036104,             0.00036104
                     12,                 1.4901,                 1.0502,                  1.072,                0.50247,                0.43408,                0.45914,                0.28156,                 1.7934,                 1.3531,                 1.1663,             0.00035917,             0.00035917,             0.00035917
                     13,                 1.4965,                  1.032,                  1.077,                0.59348,                 0.4717,                0.50684,                0.31071,                 1.7672,                 1.4138,                 1.1561,             0.00035714,             0.00035714,             0.00035714
                     14,                 1.4724,                 1.0032,                 1.0671,                0.49873,                0.49011,                0.47336,                0.28233,                    1.8,                 1.4646,                 1.1822,             0.00035494,             0.00035494,             0.00035494
                     15,                 1.4617,                0.97157,                  1.066,                0.62014,                0.46563,                0.51053,                0.29686,                  1.806,                 1.3728,                 1.1546,             0.00035257,             0.00035257,             0.00035257
                     16,                 1.4617,                0.96333,                 1.0617,                0.58162,                0.54673,                0.55839,                 0.3415,                 1.7421,                 1.2465,                 1.1218,             0.00035004,             0.00035004,             0.00035004
                     17,                 1.4577,                0.95673,                  1.058,                0.60792,                0.47418,                0.52706,                0.32635,                 1.7402,                 1.3474,                 1.1262,             0.00034735,             0.00034735,             0.00034735
                     18,                 1.4347,                0.93592,                 1.0506,                0.53037,                0.50689,                0.50596,                0.31257,                 1.6849,                  1.295,                 1.1118,             0.00034449,             0.00034449,             0.00034449
                     19,                 1.4336,                0.93023,                 1.0495,                0.60031,                0.52602,                 0.5485,                0.33196,                 1.7716,                 1.3162,                 1.1421,             0.00034149,             0.00034149,             0.00034149
                     20,                 1.4122,                0.89453,                 1.0424,                0.59306,                0.54039,                0.52737,                0.31726,                 1.7968,                 1.2661,                 1.1537,             0.00033833,             0.00033833,             0.00033833
                     21,                 1.4119,                0.89646,                 1.0431,                0.57334,                0.56515,                0.58684,                0.38011,                 1.6817,                 1.2247,                 1.1141,             0.00033502,             0.00033502,             0.00033502
                     22,                 1.4142,                0.88242,                  1.041,                0.61421,                 0.5382,                0.55088,                0.34763,                 1.7344,                 1.2713,                  1.127,             0.00033157,             0.00033157,             0.00033157
                     23,                  1.376,                0.84888,                 1.0279,                0.58654,                0.54049,                0.54029,                0.32569,                 1.8881,                 1.3539,                 1.1675,             0.00032797,             0.00032797,             0.00032797
